question	answer	video_id	action
who is assaulting ?	the man wearing black shirt	assault15	assault
who is falling ?	unknown	assault15	assault
who hit by hand ?	the man wearing a black shirt	assault15	assault
who hit with a rod?	unknown	assault15	assault
who is assaulting ?	the man wearing white t-shirt	assault16	assault
who is falling ?	unknown	assault16	assault
who is assaulting ?	the man wearing black pants	assault17	assault
who is fighting ?	unknown	assault17	assault
who hit by hand ?	the man wearing black pants	assault17	assault
who has a gun ?	unknown	assault17	assault
who is assaulting ?	the man wearing black pants	assault18	assault
who is fighting?	unknown	assault18	assault
who has a rod ?	the man wearing black pants	assault18	assault
who has a gun?	unknown	assault18	assault
who is assaulting ?	the man wearing black t-shirt	assault19	assault
who is fighting?	unknown	assault19	assault
who hit by hand ?	the man wearing black t-shirt	assault19	assault
who hit by rod ?	unknown	assault19	assault
who is standing by the wall ?	the man wearing sleeveless shirt	assault19	assault
who is standing by a car ?	unknown	assault19	assault
who is assaulting ?	the man wearing white sleeveless shirt	assault20	assault
who is falling ?	unknown	assault20	assault
who is falling ?	the man wearing blue t-shirt	fall15	fall
who is fighting ?	unknown	fall15	fall
who is falling ?	the man wearing white t-shirt	fall16	fall
who is shooting ?	unknown	fall16	fall
who is falling ?	the woman wearing blue t-shirt	fall17	fall
who is fighting ?	unknown	fall17	fall
who ride a motorcycle ?	the woman wearing sleeveless pink t-shirt	fall17	fall
who is standing by a wall ?	unknown	fall17	fall
who is falling ?	the man wearing black t-shirt	fall18	fall
who is shooting ?	unknown	fall18	fall
who has a rod  ?	unknown	fall18	fall
who is standing by a wall ?	the man wearing blue t-shirt	fall18	fall
who is falling  ?	the man wearing black t-shirt	fall19	fall
who is shooting ?	unknown	fall19	fall
who is opening the gate ?	unknown	fall19	fall
who hold a bottle ?	unknown	fall19	fall
who is falling ?	the man wearing black shirt	fall20	fall
who is shooting ?	unknown	fall20	fall
who is holding a bottle ?	unknown	fall20	fall
who is fighting ?	the man wearing white t-shirt	fight15	fight
who is shooting ?	unknown	fight15	fight
who is fighting ?	the man wearing black t-shirt	fight16	fight
who is assaulting ?	unknown	fight16	fight
who hit by hand ?	the man wearing black hat	fight16	fight
who has a rod ?	unknown	fight16	fight
who is standing by the door ?	the man wearing black suit	fight16	fight
who is standing by a car ?	the man wearing black hat	fight16	fight
who is fighting ?	the man wearing black t-shirt	fight17	fight
who is shooting ?	unknown	fight17	fight
who is fighting ?	the man wearing blue t-shirt	fight18	fight
who is shooting ?	unknown	fight18	fight
who is shooting ?	unknown	fight19	fight
who hit by hand ?	the man wearing white t-shirt	fight19	fight
who is standing by a car ?	unknown	fight19	fight
who is fighting ?	the man wearing white pants	fight20	fight
who is shooting ?	unknown	fight20	fight
who hit by hand ?	the man wearing white pants	fight20	fight
who has a gun ?	unknown	fight20	fight
who is shooting ?	the man wearing white t-shirt	shoot15	shoot
who is fighting ?	unknown	shoot15	shoot
who has a gun ?	the man wearing white t-shirt	shoot15	shoot
who has a rod ?	unknown	shoot15	shoot
who is shooting ?	the man wearing black t-shirt	shoot16	shoot
who is fighting ?	unknown	shoot16	shoot
who has a gun ?	the man wearing black t-shirt	shoot16	shoot
who holds a box ?	unknown	shoot16	shoot
who is standing by a car ?	the man wearing black t-shirt	shoot16	shoot
who is sitting on a chair ?	unknown	shoot16	shoot
who is shooting ?	the man wearing black t-shirt	shoot17	shoot
who is fighting ?	unknown	shoot17	shoot
who has a gun ?	the man wearing black t-shirt	shoot17	shoot
who hit by hand ?	unknown	shoot17	shoot
who is standing ?	the man wearing black t-shirt	shoot17	shoot
who is standing by a car ?	unknown	shoot17	shoot
who has a rod ?	unknown	shoot18	shoot
who is shooting ?	the man wearing white t-shirt	shoot19	shoot
who is assaulting ?	unknown	shoot19	shoot
who has a gun ?	the man wearing white t-shirt	shoot19	shoot
who has a rod ?	unknown	shoot19	shoot
who is standing by a car ?	unknown	shoot19	shoot
who is shooting ?	the man wearing white helmet	shoot20	shoot
who is assaulting ?	unknown	shoot20	shoot
who has a gun ?	the man wearing black t-shirt	shoot20	shoot
who has a rod ?	unknown	shoot20	shoot
who is opening the gate ?	unknown	shoot20	shoot
who is opening the door ?	the man wearing white t-shirt	shoot20	shoot
