id	question	answer	video_id	action	qa_class	unknown
199	does the video have assault?	yes	assault15	assault	0	0
200	does the video have shooting?	no	assault15	assault	0	1
201	what is the man wearing black shirt doing?	assaulting	assault15	assault	0	0
210	does the video have assault?	yes	assault16	assault	0	0
211	does the video have falling?	no	assault16	assault	0	1
212	what is the man wearing white t-shirt doing?	assaulting	assault16	assault	0	0
222	does the video have assault?	yes	assault17	assault	0	0
223	does the video have shooting?	no	assault17	assault	0	1
224	what is the man wearing black pants doing?	assaulting	assault17	assault	0	0
225	what is the man wearing nothing doing?	assaulted	assault17	assault	0	0
235	does the video have assault?	yes	assault18	assault	0	0
236	does the video have fighting?	no	assault18	assault	0	1
237	what is the man wearing black pants doing?	assaulting	assault18	assault	0	0
238	what is the woman wearing green skirt doing?	assaulted	assault18	assault	0	0
247	does the video have assault?	yes	assault19	assault	0	0
248	does the video have fighting?	no	assault19	assault	0	1
249	what is the man wearing black t-shirt doing?	assaulting	assault19	assault	0	0
250	what is the man wearing sleeveless shirt doing?	falling	assault19	assault	0	0
261	does the video have assault?	yes	assault20	assault	0	0
262	does the video have shooting?	no	assault20	assault	0	1
263	what is the man wearing white sleeveless shirt doing?	assaulting	assault20	assault	0	0
462	does the video have fall?	yes	fall15	fall	0	0
463	does the video have assault?	no	fall15	fall	0	1
464	what is the man wearing blue t-shirt doing?	falling	fall15	fall	0	0
465	what is the man wearing short pants doing?	falling	fall15	fall	0	0
475	does the video have fall?	yes	fall16	fall	0	0
476	does the video have shooting?	no	fall16	fall	0	1
477	what is the man wearing white t-shirt doing?	falling	fall16	fall	0	0
478	what is the man wearing gray pants doing?	falling	fall16	fall	0	0
479	what is the woman wearing white hat doing?	unknown	fall16	fall	0	1
488	does the video have fall?	yes	fall17	fall	0	0
489	does the video have fighting?	no	fall17	fall	0	1
490	what is the woman wearing blue t-shirt doing?	falling	fall17	fall	0	0
491	what is the woman wearing sleeveless pink shirt doing?	falling	fall17	fall	0	0
492	what is the man wearing black t-shirt doing?	unknown	fall17	fall	0	1
502	does the video have fall?	yes	fall18	fall	0	0
503	does the video have shooting?	no	fall18	fall	0	1
504	what is the man wearing blue t-shirt doing?	falling	fall18	fall	0	0
505	what is the man wearing gray pants doing?	falling	fall18	fall	0	0
506	what is the man wearing white hat doing?	unknown	fall18	fall	0	1
516	does the video have fall?	yes	fall19	fall	0	0
517	does the video have assault?	no	fall19	fall	0	1
518	what is the man wearing black t-shirt doing?	falling	fall19	fall	0	0
529	does the video have fall?	yes	fall20	fall	0	0
530	does the video have assault?	no	fall20	fall	0	1
531	what is the man wearing black shirt doing?	falling	fall20	fall	0	0
532	what is the man wearing blue shirt doing?	unknown	fall20	fall	0	1
730	does the video have fight?	yes	fight15	fight	0	0
731	does the video have the shooting?	no	fight15	fight	0	1
732	what is the man wearing white t-shirt doing?	fighting	fight15	fight	0	0
733	what is the man wearing blue t-shirt doing?	unknown	fight15	fight	0	1
742	does the video have fight?	yes	fight16	fight	0	0
743	does the video have fall?	no	fight16	fight	0	1
744	what is the man wearing black suit doing?	fighting	fight16	fight	0	0
745	what is the man wearing black hat doing?	fighting	fight16	fight	0	0
757	does the video have fight?	yes	fight17	fight	0	0
758	does the video have fall?	no	fight17	fight	0	1
759	what is the man wearing gray t-shirt doing?	fighting	fight17	fight	0	0
760	what is the man wearing black t-shirt doing?	fighting	fight17	fight	0	0
761	what is the man wearing blue t-shirt doing?	unknown	fight17	fight	0	1
769	does the video have fight?	yes	fight18	fight	0	0
770	does the video have shooting ?	no	fight18	fight	0	1
771	what is the man wearing blue t-shirt doing?	fighting	fight18	fight	0	0
772	what is the man wearing black t-shirt doing?	fighting	fight18	fight	0	0
773	what is the woman wearing blue skirt doing?	unknown	fight18	fight	0	1
774	does the video have assault?	yes	fight18	fight	0	0
783	does the video have fight?	yes	fight19	fight	0	0
784	does the video have fall?	no	fight19	fight	0	1
785	what is the man wearing white t-shirt doing?	fighting	fight19	fight	0	0
786	what is the man wearing black t-shirt doing?	fighting	fight19	fight	0	0
787	what is the man without clothes doing?	unknown	fight19	fight	0	1
788	what is the man wearing blue shirt doing?	stop two man	fight19	fight	0	0
798	does the video have fight?	yes	fight20	fight	0	0
799	does the video have shooting?	no	fight20	fight	0	1
800	what is the man wearing blue pants doing?	fighting	fight20	fight	0	0
801	what is the man wearing black pants doing?	fighting	fight20	fight	0	0
802	what is the man wearing black t-shirt doing?	unknown	fight20	fight	0	1
997	does the video have shoot?	yes	shoot15	shoot	0	0
998	does the video have fall?	no	shoot15	shoot	0	1
999	what is the man wearing whtie t-shirt doing?	shooting	shoot15	shoot	0	0
1008	does the video have shoot?	yes	shoot16	shoot	0	0
1009	does the video have fall?	no	shoot16	shoot	0	1
1010	what is the man wearing black t-shirt doing?	shooting	shoot16	shoot	0	0
1011	what is the man wearing gray pants doing?	lying	shoot16	shoot	0	0
1012	what is the woman wearing sleeveless t-shirt doing?	unknown	shoot16	shoot	0	1
1023	does the video have shoot?	yes	shoot17	shoot	0	0
1024	does the video have fight?	no	shoot17	shoot	0	1
1025	what is the man wearing black t-shirt doing?	shooting	shoot17	shoot	0	0
1036	does the video have shoot?	yes	shoot18	shoot	0	0
1037	does the video have assault?	no	shoot18	shoot	0	1
1038	does the video have gun?	yes	shoot18	shoot	0	0
1039	does the video have fall?	yes	shoot18	shoot	0	0
1047	does the video have shoot?	yes	shoot19	shoot	0	0
1048	does the video have assault?	no	shoot19	shoot	0	1
1049	what is the man wearing black pants doing?	shooted	shoot19	shoot	0	0
1050	what is the man wearing white t-shirt doing?	shooting	shoot19	shoot	0	0
1051	what is the woman wearing blue skirt doing?	unknown	shoot19	shoot	0	1
1052	what is the woman sitting on the ground doing?	unknown	shoot19	shoot	0	1
1053	does the video have fall?	yes	shoot19	shoot	0	0
1065	does the video have shoot?	yes	shoot20	shoot	0	0
1066	does the video have assault?	no	shoot20	shoot	0	1
1067	what is the man wearing white helmet doing?	shooting	shoot20	shoot	0	0
1068	what is the man wearing black t-shirt doing?	shooting	shoot20	shoot	0	0
1069	what is the man without clothes doing?	unknown	shoot20	shoot	0	1
