id	question	answer	video_id	action	qa_class	unknown
202	who is assaulting?	the man wearing black shirt	assault15	assault	1	0
203	who hit by hand?	the man wearing a black shirt	assault15	assault	1	0
213	who is assaulting?	the man wearing white t-shirt	assault16	assault	1	0
226	who is assaulting?	the man wearing black pants	assault17	assault	1	0
227	who hit by hand?	the man wearing black pants	assault17	assault	1	0
239	who is assaulting?	the man wearing black pants	assault18	assault	1	0
240	who has a rod?	the man wearing black pants	assault18	assault	1	0
251	who is assaulting?	the man wearing black t-shirt	assault19	assault	1	0
252	who hit by hand?	the man wearing black t-shirt	assault19	assault	1	0
253	who is standing by the wall?	the man wearing sleeveless shirt	assault19	assault	1	0
264	who is assaulting?	the man wearing white sleeveless shirt	assault20	assault	1	0
466	who is falling?	the man wearing blue t-shirt	fall15	fall	1	0
480	who is falling?	the man wearing white t-shirt	fall16	fall	1	0
493	who is falling?	the woman wearing blue t-shirt	fall17	fall	1	0
494	who ride a motorcycle?	the woman wearing sleeveless pink t-shirt	fall17	fall	1	0
507	who is falling?	the man wearing black t-shirt	fall18	fall	1	0
508	who is standing by a wall?	the man wearing blue t-shirt	fall18	fall	1	0
519	who is falling ?	the man wearing black t-shirt	fall19	fall	1	0
533	who is falling?	the man wearing black shirt	fall20	fall	1	0
534	who is shooting?	unknown	fall20	fall	1	1
734	who is fighting?	the man wearing white t-shirt	fight15	fight	1	0
746	who is fighting?	the man wearing black t-shirt	fight16	fight	1	0
747	who hit by hand?	the man wearing black hat	fight16	fight	1	0
748	who is standing by the door?	the man wearing black suit	fight16	fight	1	0
749	who is standing by a car?	the man wearing black hat	fight16	fight	1	0
762	who is fighting?	the man wearing black t-shirt	fight17	fight	1	0
775	who is fighting?	the man wearing blue t-shirt	fight18	fight	1	0
789	who is fighting?	the man wearing black t-shirt	fight19	fight	1	0
790	who hit by hand?	the man wearing white t-shirt	fight19	fight	1	0
803	who is fighting?	the man wearing white pants	fight20	fight	1	0
804	who hit by hand?	the man wearing white pants	fight20	fight	1	0
1000	who is shooting?	the man wearing white t-shirt	shoot15	shoot	1	0
1001	who has a gun?	the man wearing white t-shirt	shoot15	shoot	1	0
1013	who is shooting?	the man wearing black t-shirt	shoot16	shoot	1	0
1014	who has a gun?	the man wearing black t-shirt	shoot16	shoot	1	0
1015	who is standing by a car?	the man wearing black t-shirt	shoot16	shoot	1	0
1026	who is shooting?	the man wearing black t-shirt	shoot17	shoot	1	0
1027	who has a gun?	the man wearing black t-shirt	shoot17	shoot	1	0
1028	who is standing?	the man wearing black t-shirt	shoot17	shoot	1	0
1054	who is shooting?	the man wearing white t-shirt	shoot19	shoot	1	0
1055	who has a gun?	the man wearing white t-shirt	shoot19	shoot	1	0
1070	who is shooting?	the man wearing white helmet	shoot20	shoot	1	0
1071	who has a gun?	the man wearing black t-shirt	shoot20	shoot	1	0
1072	who is opening the door?	the man wearing white t-shirt	shoot20	shoot	1	0
