question	answer	video_id	action
does the video have assault ?	yes	assault01	assault
does the video have shooting ?	no	assault01	assault
what is the man wearing brown t-shirt doing ?	assaulting	assault01	assault
what is the man wearing light pants doing ?	assaulting	assault01	assault
what is the man weaing black t-shirt doing?	unknown	assault01	assault
what is the man wearing a red hat doing?	unknown	assault01	assault
who is assaulting ?	the man wearing a brown t-shirt	assault01	assault
who is shooting ?	unknown	assault01	assault
who has a rod ?	unknown	assault01	assault
who is lying on the ground ?	the man wearing a black sleeveless shirt	assault01	assault
when does assault happen ?	night-time	assault01	assault
when does shooting happen ?	unknown	assault01	assault
does the video happen daytime ?	no	assault01	assault
does the video happen night-time ?	yes	assault01	assault
where does assault happen ?	outdoor	assault01	assault
where does shooting happen ?	unknown	assault01	assault
does the video happen indoor ?	no	assault01	assault
does the video happen outdoor ?	yes	assault01	assault
does the video have assault ?	yes	assault02	assault
does the video have fighting?	no	assault02	assault
what is the man wearing black t-shirt doing ?	assaulting	assault02	assault
what is the man wearing white t-shirt doing?	unknown	assault02	assault
who is assaulting ?	the man wearing black t-shirt	assault02	assault
who is fighting ?	unknown	assault02	assault
who has a rod ?	the man wearing black t-shirt	assault02	assault
who has a gun ?	unknown	assault02	assault
who is assaulted ?	the man lying on the ground	assault02	assault
when does assault happen ?	night-time	assault02	assault
when does fighting happen ?	unknown	assault02	assault
does the video happen daytime ?	no	assault02	assault
does the video happen night-time ?	yes	assault02	assault
where does the assaulting happen ?	indoor	assault02	assault
where does the fighting happen ?	unknown	assault02	assault
does the video happen outdoor ?	no	assault02	assault
does the video happen indoor ?	yes	assault02	assault
does the video have assault ?	yes	assault03	assault
does the video have falling ?	yes	assault03	assault
what is the man wearing a white t-shirt doing ?	assaulting	assault03	assault
what is the man wearing gray t-shirt doing ?	assaulting	assault03	assault
what is the man wearing black t-shirt doing?	unknown	assault03	assault
does the video have shooting ?	no	assault03	assault
who is assaulting ?	the man wearing a white t-shirt	assault03	assault
who is fighting ?	unknown	assault03	assault
who hit by hand ?	the man wearing a white t-shirt	assault03	assault
who hit by a rod ?	unknown	assault03	assault
who is assaulted ?	the man weaing a bag	assault03	assault
when does the assault happen ?	night-time	assault03	assault
when does the fighting happen ?	unknown	assault03	assault
does the video happen daytime ?	no	assault03	assault
does the video happen night-time ?	yes	assault03	assault
where does the assaulting happen ?	indoor	assault03	assault
where does the fighting happen ?	unknown	assault03	assault
does the video happen outdoor ?	no	assault03	assault
does the video happen indoor ?	yes	assault03	assault
does the video have assault ?	yes	assault04	assault
does the video have falling?	no	assault04	assault
what is the man wearing gray t-shirt doing ?	assaulting	assault04	assault
what is the man wearing blue t-shirt doing ?	lying	assault04	assault
what is the man wearing black t-shirt doing?	unknown	assault04	assault
what is the man wearing red t-shirt doing?	unknown	assault04	assault
who is assaulting ?	the man wearing blue t-shirt	assault04	assault
who is lying ?	the man wearing blue t-shirt	assault04	assault
who has a rod ?	the man wearing gray t-shirt	assault04	assault
who has a gun ?	unknown	assault04	assault
who is lying beside an atm ?	the man wearing blue t-shirt	assault04	assault
who is assaulted ?	the man wearing a blue t-shirt	assault04	assault
who is fighting ?	unknown	assault04	assault
who is falling ?	unknown	assault04	assault
who is shooting ?	unknown	assault04	assault
when does assaulting happen ?	night-time	assault04	assault
when does fighting happen ?	unknown	assault04	assault
does the video happen daytime ?	no	assault04	assault
does the video happen night-time ?	yes	assault04	assault
where does the assaulting happen ?	indoor	assault04	assault
where does the fighting happen ?	unknown	assault04	assault
does the video happen outdoor ?	no	assault04	assault
does the video happen indoor ?	yes	assault04	assault
does the video have assault ?	yes	assault05	assault
does the video have shooting?	no	assault05	assault
what is the man wearing black t-shirt doing ?	assaulting	assault05	assault
what is the man wearing white t-shirt doing ?	falling	assault05	assault
what is the man wearing gray t-shirt doing?	unknown	assault05	assault
who is assaulting ?	the man wearing black t-shirt	assault05	assault
who is fighting ?	unknown	assault05	assault
who hit by hand ?	the man wearing black t-shirt	assault05	assault
who has a gun ?	unknown	assault05	assault
when does the assaulting happen ?	daytime	assault05	assault
when does the fighting happen ?	unknown	assault05	assault
does the video happen night-time ?	no	assault05	assault
does the video happen daytime ?	yes	assault05	assault
where does the assaulting happen ?	outdoor	assault05	assault
where does fighting happen ?	unknown	assault05	assault
does the video happen indoor ?	no	assault05	assault
does the video happen outdoor ?	yes	assault05	assault
does the video have assault ?	yes	assault06	assault
does the video have fighting ?	no	assault06	assault
what is the man wearing pink shirt doing ?	standing by a motorcycle	assault06	assault
what is the man wearing white shirt doing ?	assaulting	assault06	assault
what is the man wearing gray t-shirt doing?	unknown	assault06	assault
what is the man wearing black t-shirt doing?	unknown	assault06	assault
who is assaulting ?	the man wearing white t-shirt	assault06	assault
who is shooting ?	unknown	assault06	assault
who has a rod ?	the man wearing a wearing white t-shirt	assault06	assault
who has a gun ?	unknown	assault06	assault
who is standing by a motorcycle ?	the man wearing pink t-shirt	assault06	assault
who is sitting on a blue chair ?	unknown	assault06	assault
when does the assaulting happen ?	daytime	assault06	assault
when does the fighting happen ?	unknown	assault06	assault
does the video happen night-time ?	no	assault06	assault
does the video happen daytime ?	yes	assault06	assault
where does the assaulting happen ?	outdoor	assault06	assault
where does the fighting happen ?	unknown	assault06	assault
does the video happen indoor ?	no	assault06	assault
does the video happen outdoor ?	yes	assault06	assault
does the video have assault ?	yes	assault07	assault
does the video have fighting ?	no	assault07	assault
what is the man wearing black t-shirt doing ?	assaulting	assault07	assault
what is the woman wearing black shirt doing ?	falling	assault07	assault
what is the man wearing white shirt doing?	unknown	assault07	assault
what is the man wearing pink t-shirt doing?	unknown	assault07	assault
who is assaulting ?	the man wearing a black t-shirt	assault07	assault
who is fighting ?	unknown	assault07	assault
who hit by hand ?	the man wearing black t-shirt	assault07	assault
who is assaulted ?	the woman with black shirt	assault07	assault
who is hit ?	the woman wearing a black shirt	assault07	assault
when does assaulting happen ?	daytime	assault07	assault
when does the fighting happen ?	unknown	assault07	assault
does the video happen night-time ?	no	assault07	assault
does the video happen daytime ?	yes	assault07	assault
where does the assaulting happen ?	outdoor	assault07	assault
where does the shooting happen ?	unknown	assault07	assault
does the video happen indoor ?	no	assault07	assault
does the video happen outdoor ?	yes	assault07	assault
does the video have assault ?	yes	assault08	assault
does the video have shooting?	no	assault08	assault
what is the man wearing a white hat doing ?	assaulting	assault08	assault
what is the man wearing white shirt doing ?	falling	assault08	assault
what is the man wearing a black t-shirt doing?	unknown	assault08	assault
what is the man wearing a blue shirt doing?	unknown	assault08	assault
who is assaulting ?	the man wearing a white hat	assault08	assault
who is shooting?	unknown	assault08	assault
when does the assaulting happen ?	night-time	assault08	assault
when does the falling happen ?	unknown	assault08	assault
does the video happen daytime ?	no	assault08	assault
does the video happen night-time ?	yes	assault08	assault
where does the assaulting happen ?	outdoor	assault08	assault
where does shooting happen ?	unknown	assault08	assault
does the video happen indoor ?	no	assault08	assault
does the video happen outdoor ?	yes	assault08	assault
does the video have assault ?	yes	assault09	assault
does the video have fighting?	no	assault09	assault
what is the man weaing a black coat doing ?	assaulting	assault09	assault
what is the man wearing gray t-shirt doing ?	sitting on the ground	assault09	assault
what is the man wearing blue t-shirt doing?	unknown	assault09	assault
what is the man wearing green t-shirt doing?	unknown	assault09	assault
who is assaulting?	the man wearing a black coat	assault09	assault
who is fighting ?	unknown	assault09	assault
when does the assaulting happen ?	night-time	assault09	assault
when does the shooting happen ?	unknown	assault09	assault
does the video happen daytime ?	no	assault09	assault
does the video happen night-time ?	yes	assault09	assault
where does the assaulting happen ?	indoor	assault09	assault
where does the fighting happen ?	unknown	assault09	assault
does the video happen outdoor ?	no	assault09	assault
does the video happen indoor ?	yes	assault09	assault
does the video have assault ?	yes	assault10	assault
does the video have shooting ?	no	assault10	assault
what is the man wearing gray coat doing ?	assaulting	assault10	assault
what is the man wearing green t-shirt doing?	unknown	assault10	assault
who is assaulting ?	the man wearing a coat	assault10	assault
who is shooting ?	unknown	assault10	assault
who has a rod ?	the man wearing gray t-shirt	assault10	assault
who has a gun ?	unknown	assault10	assault
when does the assault happen ?	night-time	assault10	assault
when does the fighting happen ?	unknown	assault10	assault
does the video happen daytime ?	no	assault10	assault
does the video happen night-time ?	yes	assault10	assault
where does the assault happen ?	outdoor	assault10	assault
where does the falling happen ?	unknown	assault10	assault
does the video happen indoor ?	no	assault10	assault
does the video happen outdoor ?	yes	assault10	assault
does the video have assault ?	yes	assault11	assault
does the video have falling ?	no	assault11	assault
what is the man wearing black pants doing ?	assaulting	assault11	assault
what is the man wearing white pants doing ?	assaulting	assault11	assault
what is the man wearing gray t-shirt doing?	unknown	assault11	assault
what is the man wearing pink t-shirt doing?	unknown	assault11	assault
who is assaulting ?	the man wearing black pants	assault11	assault
who is falling ?	unknown	assault11	assault
who has a rod ?	the man wearing black pants	assault11	assault
who has a gun ?	unknown	assault11	assault
who is standing by a car  ?	the man wearing black shirt	assault11	assault
who is sitting on a blue chair ?	unknown	assault11	assault
when does the assault happen ?	daytime	assault11	assault
when does the falling happen ?	unknown	assault11	assault
does the video happen night-time ?	no	assault11	assault
does the video happen daytime ?	yes	assault11	assault
where does the assault happen ?	outdoor	assault11	assault
where does the falling happen ?	unknown	assault11	assault
does the video happen indoor ?	no	assault11	assault
does the video happen outdoor ?	yes	assault11	assault
does the video have assault ?	yes	assault12	assault
does the video have shooting ?	no	assault12	assault
what is the man wearing white t-shirt doing ?	assaulting	assault12	assault
what is the man wearing black pants doing ?	falling	assault12	assault
what is the man wearing white pants doing?	unknown	assault12	assault
what is the man wearing black t-shirt doing?	unknown	assault12	assault
who is assaulting ?	the man wearing white t-shirt	assault12	assault
who is shooting ?	unknown	assault12	assault
who hit by hand ?	the man wearing a white t-shirt	assault12	assault
who has a rod ?	unknown	assault12	assault
who is falling ?	the man wearing black pants	assault12	assault
who is standing by a car ?	unknown	assault12	assault
when does the assaulting happen ?	night-time	assault12	assault
when does shooting happen ?	unknown	assault12	assault
does the video happen daytime ?	no	assault12	assault
does the video happen night-time ?	yes	assault12	assault
where does the assaulting happen ?	outdoor	assault12	assault
where does shooting happen ?	unknown	assault12	assault
does the video happen indoor ?	no	assault12	assault
does the video happen outdoor ?	yes	assault12	assault
does the video have assault ?	yes	assault13	assault
does the video have falling ?	no	assault13	assault
what is the man wearing white pants doing ?	sitting on the ground	assault13	assault
what is the man wearing helmet doing ?	assaulted 	assault13	assault
what is the man wearing white t-shirt doing?	unknown	assault13	assault
what is the man wearing pink t-shirt doing?	unknown	assault13	assault
who is assaulted ?	the man wearing white pants	assault13	assault
who is falling ?	unknown	assault13	assault
who has a rod ?	the man wearing blue pants	assault13	assault
who has a gun ?	unknown	assault13	assault
who is sitting on the ground ?	the man wearing white pants	assault13	assault
who is standing by a car ?	unknown	assault13	assault
when does the assaulting happen ?	daytime	assault13	assault
when does the falling happen ?	unknown	assault13	assault
does the video happen night-time ?	no	assault13	assault
does the video happen daytime ?	yes	assault13	assault
where does the assaulting happen ?	outdoor	assault13	assault
where does the the shooting happen ?	unknown	assault13	assault
does the video happen indoor ?	no	assault13	assault
does the video happen outdoor ?	yes	assault13	assault
does the video have assault ?	yes	assault14	assault
does the video have shooting ?	no	assault14	assault
what is the man wearing black t-shirt doing ?	assaulting	assault14	assault
what is the man wearing gray pants doing ?	sitting on the ground	assault14	assault
what is the man wearing white t-shirt doing?	unknown	assault14	assault
what is the man wearing blue t-shirt doing?	unknown	assault14	assault
who is assaulting ?	the man wearing black t-shirt	assault14	assault
who is shooting ?	unknown	assault14	assault
who hit by hand ?	the man wearing black t-shirt	assault14	assault
who has a gun ?	unknown	assault14	assault
who is sitting on the ground ?	the man wearing white pants	assault14	assault
who is standing by a table ?	unknown	assault14	assault
when does the assaulting happen ?	night-time	assault14	assault
when does the shooting happen ?	unknown	assault14	assault
does the video happen daytime ?	no	assault14	assault
does the video happen night-time ?	yes	assault14	assault
where does the assaulting happen ?	indoor	assault14	assault
where does the shooting happen ?	unknown	assault14	assault
does the video happen outdoor ?	no	assault14	assault
does the video happen indoor ?	yes	assault14	assault
does the video have fall ?	yes	fall01	fall
does the video have assaulting ?	no	fall01	fall
what is the man wearing white coat doing ?	falling	fall01	fall
what is the man wearing black pants doing ?	falling	fall01	fall
what is the woman wearing blue skirt doing?	unknown	fall01	fall
what is the man wearing an helmet doing?	unknown	fall01	fall
who is falling ?	the man wearing white coat	fall01	fall
who is shooting ?	unknown	fall01	fall
who has a rod ?	unknown	fall01	fall
when does the falling happen ?	night-time	fall01	fall
when does the shooting happen ?	unknown	fall01	fall
does the video happen daytime ?	no	fall01	fall
does the video happen night-time ?	yes	fall01	fall
where does the falling happen ?	outdoor	fall01	fall
where does the fighting happen ?	unknown	fall01	fall
does the video happen indoor ?	no	fall01	fall
does the video happen outdoor ?	yes	fall01	fall
where does the man fall ?	ground	fall01	fall
does the video have fall ?	yes	fall02	fall
does the video have the fighting ?	no	fall02	fall
what is the woman wearing blue t-shirt doing ?	falling	fall02	fall
what is the woman wearing blue pants doing ?	falling	fall02	fall
what is the man wearing white t-shirt doing?	unknown	fall02	fall
what is the woman wearing blue skirt doing?	unknown	fall02	fall
who is falling ?	the woman wearing blue pants	fall02	fall
who is fighting?	unknown	fall02	fall
when does falling happen ?	daytime	fall02	fall
when does the shooting happen ?	unknown	fall02	fall
does the video happen night-time ?	no	fall02	fall
does the video happen daytime ?	yes	fall02	fall
where does the falling happen ?	outdoor	fall02	fall
where does the assaulting happen ?	unknown	fall02	fall
does the video happen indoor ?	no	fall02	fall
does the video happen outdoor ?	yes	fall02	fall
where does the woman fall ?	ground	fall02	fall
does the video have fall ?	yes	fall03	fall
does the video have fighting ?	no	fall03	fall
what is the woman wearing black t-shirt doing ?	falling	fall03	fall
what is the man wearing pink t-shirt doing?	unknown	fall03	fall
who is falling ?	the woman wearing black t-shirt	fall03	fall
who is assaulting ?	unknown	fall03	fall
when does the falling happen ?	daytime	fall03	fall
when does the fighting happen ?	unknown	fall03	fall
does the video happen night-time ?	no	fall03	fall
does the video happen daytime ?	yes	fall03	fall
where does the falling happen ?	outdoor	fall03	fall
where does the shooting happen ?	unknown	fall03	fall
does the video happen indoor ?	no	fall03	fall
does the video happen outdoor ?	yes	fall03	fall
where does the woman fall ?	staircase	fall03	fall
does the video have fall ?	yes	fall04	fall
does the video have fighting ?	no	fall04	fall
what is the woman wearing white t-shirt doing ?	falling	fall04	fall
what is the man wearing black t-shirt doing?	unknown	fall04	fall
who is falling ?	the woman wearing white t-shirt	fall04	fall
who is sitting ?	unknown	fall04	fall
when does the fall happen ?	daytime	fall04	fall
when does the fighting happen ?	unknown	fall04	fall
does the video happen daytime night-time ?	no	fall04	fall
does the video happen daytime ?	yes	fall04	fall
where does the woman fall ?	swimming pool	fall04	fall
where does the fall happen ?	outdoor	fall04	fall
where does the assault happen ?	unknown	fall04	fall
does the video happen indoor ?	no	fall04	fall
does the video happen outdoor ?	yes	fall04	fall
does the video have fall ?	yes	fall05	fall
does the video have fighting?	no	fall05	fall
what is the man wearing black pants doing ?	falling	fall05	fall
what is the man wearing white t-shirt doing ?	falling	fall05	fall
what is the man wearing blue shirt doing?	unknown	fall05	fall
what is the man wearing gray t-shirt doing?	unknown	fall05	fall
who is falling ?	the man wearing black pants	fall05	fall
who is shooting ?	unknown	fall05	fall
who has a rod ?	the man wearing white t-shirt	fall05	fall
who hold a gun ?	unknown	fall05	fall
who is opening the gate ?	the man wearing a black pants	fall05	fall
who is standing by a wall ?	unknown	fall05	fall
when does the fall happen ?	daytime	fall05	fall
when does the fighting happen ?	unknown	fall05	fall
does the video happen night-time ?	no	fall05	fall
does the video happen daytime ?	yes	fall05	fall
where does the fall happen ?	outdoor	fall05	fall
where does the shooting happen ?	unknown	fall05	fall
does the video happen indoor ?	no	fall05	fall
does the video happen outdoor ?	yes	fall05	fall
where does the man fall ?	ground	fall05	fall
does the video have fall ?	yes	fall06	fall
does the video have fighting ?	no	fall06	fall
what is the woman wearing black t-shirt doing ?	falling	fall06	fall
what is the woman wearing black pants doing ?	falling	fall06	fall
what is the man wearing an helmet doing?	unknown	fall06	fall
what is the woman wearing blue skirt doing?	unknown	fall06	fall
who is falling ?	the woman wearing black pants	fall06	fall
who is shooting ?	unknown	fall06	fall
who fall from the staircase ?	the woman wearing black t-shirt	fall06	fall
who is opening the gate ?	unknown	fall06	fall
when does the fall happen ?	daytime	fall06	fall
when does the fighting happen ?	unknown	fall06	fall
does the video happen night-time ?	no	fall06	fall
does the video happen daytime ?	yes	fall06	fall
where does the falling happen ?	indoor	fall06	fall
where does the assault happen ?	unknown	fall06	fall
does the video happen outdoor ?	no	fall06	fall
does the video happen indoor ?	yes	fall06	fall
where does the woman wearing black t-shirt fall ?	staircase	fall06	fall
does the video have fall ?	yes	fall07	fall
does the video have the assault ?	no	fall07	fall
what is the man wearing blue t-shirt doing ?	falling	fall07	fall
what is the man wearing black short pants doing ?	falling	fall07	fall
what is the woman wearing white t-shirt doing?	unknown	fall07	fall
what is the man wearing white pants doing?	unknown	fall07	fall
who is falling ?	the man wearing black short pants	fall07	fall
who is fighting ?	unknown	fall07	fall
who is standing by a wall ?	unknown	fall07	fall
when does the fall happen ?	daytime	fall07	fall
when does the fight happen ?	unknown	fall07	fall
does the video happen night-time ?	no	fall07	fall
does the video happen daytime ?	yes	fall07	fall
where does the man wearing blue t-shirt fall ?	swimming pool	fall07	fall
where does the fall happen ?	outdoor	fall07	fall
where does the shooting happen ?	unknown	fall07	fall
does the video happen indoor ?	no	fall07	fall
does the video happen outdoor ?	yes	fall07	fall
does the video have fall ?	yes	fall08	fall
does the video have shooting ?	no	fall08	fall
what is the man wearing sleeveless gray t-shirt doing ?	falling	fall08	fall
what is the man wearing black short pants doing ?	falling	fall08	fall
what is the man wearing pink t-shirt doing?	unknown	fall08	fall
what is the woman wearing green t-shirt doing?	unknown	fall08	fall
who is falling ?	the man wearing sleeveless gray t-shirt	fall08	fall
who is wearing an helmet ?	unknown	fall08	fall
when does the fall happen ?	daytime	fall08	fall
when does the fight happen ?	unknown	fall08	fall
does the video happen daytime ?	yes	fall08	fall
does the video happen night-time ?	no	fall08	fall
where does the fall happen ?	indoor	fall08	fall
where does the assault happen ?	unknown	fall08	fall
does the video happen outdoor ?	no	fall08	fall
does the video happen indoor ?	yes	fall08	fall
where does the man fall ?	ground	fall08	fall
does the video have fall ?	yes	fall09	fall
does the video have fighting ?	no	fall09	fall
what is the man wearing white t-shirt doing ?	falling	fall09	fall
what is the man wearing blue pants doing ?	falling	fall09	fall
what is the woman wearing blue skirt doing?	unknown	fall09	fall
what is the man wearing pink t-shirt doing?	unknown	fall09	fall
who is falling ?	the man wearing white t-shirt	fall09	fall
who is fighting ?	unknown	fall09	fall
who is opening the gate ?	unknown	fall09	fall
when does the fall happen ?	daytime	fall09	fall
when does the shooting happen ?	unknown	fall09	fall
does the video happen night-time ?	no	fall09	fall
does the video happen daytime ?	yes	fall09	fall
where does the man wearing blue pants fall ?	swimming pool	fall09	fall
where is the man is sitting ?	the bank	fall09	fall
where does the fall happen ?	outdoor	fall09	fall
where does the the assault happen ?	unknown	fall09	fall
does the video happen indoor ?	no	fall09	fall
does the video happen outdoor ?	yes	fall09	fall
does the video have fall ?	yes	fall10	fall
does the video have fighting ?	no	fall10	fall
what is the woman wearing black coat doing ?	falling	fall10	fall
what is the woman wearing blue pants doing ?	falling	fall10	fall
what is the man wearing an helmet doing?	unknown	fall10	fall
what is the man wearing green t-shirt doing?	unknown	fall10	fall
who is falling ?	the woman wearing blue pants	fall10	fall
who is fighting ?	unknown	fall10	fall
when does the fall happen ?	daytime	fall10	fall
when does the shooting happen ?	unknown	fall10	fall
does the video happen daytime  ?	yes	fall10	fall
does the video happen night-time ?	no	fall10	fall
where does the woman fall ?	ground	fall10	fall
where does the fall happen ?	outdoor	fall10	fall
where does the shooting happen ?	unknown	fall10	fall
does the video happen indoor ?	no	fall10	fall
does the video happen indoor ?	yes	fall10	fall
where does the woman fall ?	ground	fall10	fall
does the video have fall ?	yes	fall11	fall
does the video have fighting ?	no	fall11	fall
what is the man wearing white hat doing ?	falling	fall11	fall
