question	answer	video_id	action
when does the assaulting happen ?	daytime	assault15	assault
when does fighting happen ?	unknown	assault15	assault
does the video happen night-time ?	no	assault15	assault
does the video happen daytime ?	yes	assault15	assault
when does the assaulting happen ?	daytime	assault16	assault
when does the fighting happen ?	unknown	assault16	assault
does the video happen night-time ?	no	assault16	assault
does the video happen daytime ?	yes	assault16	assault
when does the assaulting happen ?	night-time	assault17	assault
when does the fighting happen ?	unknown	assault17	assault
does the video happen daytime ?	no	assault17	assault
does the video happen night-time ?	yes	assault17	assault
when does the assaulting happen ?	daytime	assault18	assault
when does the fighting happen ?	unknown	assault18	assault
does the video happen night-time ?	no	assault18	assault
does the video happen daytime ?	yes	assault18	assault
when does the assaulting happen ?	daytime	assault19	assault
when does the fighting happen ?	unknown	assault19	assault
does the video happen night-time ?	no	assault19	assault
does the video happen daytime ?	yes	assault19	assault
when does the assaulting happen ?	night-time	assault20	assault
when does the shooting happen ?	unknown	assault20	assault
does the video happen daytime ?	no	assault20	assault
does the video happen night-time ?	yes	assault20	assault
when does the fall happen ?	daytime	fall15	fall
when does the fight happen ?	unknown	fall15	fall
does the video happen night-time ?	no	fall15	fall
does the video happen daytime ?	yes	fall15	fall
when does the fall happen ?	daytime	fall16	fall
when does the fight happen ?	unknown	fall16	fall
does the video happen night-time ?	no	fall16	fall
does the video happen daytime ?	yes	fall16	fall
when does the fall happen ?	daytime	fall17	fall
when does the fighting happen ?	unknown	fall17	fall
does the video happen night-time ?	no	fall17	fall
does the video happen daytime ?	yes	fall17	fall
when does the fall happen ?	daytime	fall18	fall
when does the fighting happen ?	unknown	fall18	fall
does the video happen night-time ?	no	fall18	fall
does the video happen daytime ?	yes	fall18	fall
when does the fall happen ?	night-time	fall19	fall
when does the fight happen ?	unknown	fall19	fall
does the video happen night-time ?	yes	fall19	fall
does the video happen daytime ?	no	fall19	fall
when does the fall happen ?	night-time	fall20	fall
when does the assault happen ?	unknown	fall20	fall
does the video happen daytime ?	no	fall20	fall
does the video happen night-time ?	no	fall20	fall
when does the fight happen ?	night-time	fight15	fight
when does the shooting happen ?	unknown	fight15	fight
does the video happen daytime ?	no	fight15	fight
does the video happen night-time ?	no	fight15	fight
when does the fight happen ?	daytime	fight16	fight
when does the shooting happen ?	unknown	fight16	fight
does the video happen night-time ?	no	fight16	fight
does the video happen daytime ?	yes	fight16	fight
when does the fight happen ?	night-time	fight17	fight
when does the assault happen ?	unknown	fight17	fight
does the video happen daytime ?	no	fight17	fight
does the video happen night-time ?	yes	fight17	fight
when does the fight happen ?	night-time	fight18	fight
when does the shooting happen ?	unknown	fight18	fight
does the video happen daytime ?	no	fight18	fight
does the video happen night-time ?	yes	fight18	fight
when does the fight happen ?	night-time	fight19	fight
when does the shooting happen ?	unknown	fight19	fight
does the video happen daytime ?	no	fight19	fight
does the video happen night-time ?	yes	fight19	fight
when does the fight happen ?	daytime	fight20	fight
when does the assault happen ?	unknown	fight20	fight
does the video happen night-time ?	no	fight20	fight
does the video happen daytime ?	yes	fight20	fight
when does the shooting happen ?	daytime	shoot15	shoot
when does the fight happen ?	unknown	shoot15	shoot
does the video happen night-time ?	no	shoot15	shoot
does the video happen daytime ?	yes	shoot15	shoot
when does the shooting happen ?	night-time	shoot16	shoot
when does the assault happen ?	unknown	shoot16	shoot
does the video happen daytime ?	no	shoot16	shoot
does the video happen night-time ?	yes	shoot16	shoot
when does the shooting happen ?	night-time	shoot17	shoot
when does the assault happen ?	unknown	shoot17	shoot
does the video happen daytime ?	no	shoot17	shoot
does the video happen night-time ?	yes	shoot17	shoot
when does the shooting happen ?	daytime	shoot18	shoot
when does the fall happen ?	unknown	shoot18	shoot
does the video happen night-time ?	no	shoot18	shoot
does the video happen daytime ?	yes	shoot18	shoot
when does the shooting happen ?	daytime	shoot19	shoot
when does the fight happen ?	unknown	shoot19	shoot
does the video happen night-time ?	no	shoot19	shoot
does the video happen daytime ?	yes	shoot19	shoot
when does the shooting happen ?	daytime	shoot20	shoot
when does the assault happen ?	unknown	shoot20	shoot
does the video happen night-time ?	no	shoot20	shoot
does the video happen daytime ?	yes	shoot20	shoot
