question	answer	video_id	action	class
does the video have assault ?	yes	assault01	assault	0
does the video have shooting ?	no	assault01	assault	0
what is the man wearing brown t-shirt doing ?	assaulting	assault01	assault	0
what is the man wearing light pants doing ?	assaulting	assault01	assault	0
who is assaulting ?	the man wearing a brown t-shirt	assault01	assault	1
who is lying on the ground ?	the man wearing a black sleeveless shirt	assault01	assault	1
when does assault happen ?	night-time	assault01	assault	2
does the video happen daytime ?	no	assault01	assault	2
does the video happen night-time ?	yes	assault01	assault	2
where does assault happen ?	outdoor	assault01	assault	3
does the video happen indoor ?	no	assault01	assault	3
does the video happen outdoor ?	yes	assault01	assault	3
does the video have assault ?	yes	assault02	assault	0
does the video have fighting?	no	assault02	assault	0
what is the man wearing black t-shirt doing ?	assaulting	assault02	assault	0
who is assaulting ?	the man wearing black t-shirt	assault02	assault	1
who has a rod ?	the man wearing black t-shirt	assault02	assault	1
who is assaulted ?	the man lying on the ground	assault02	assault	1
when does assault happen ?	night-time	assault02	assault	2
does the video happen daytime ?	no	assault02	assault	2
does the video happen night-time ?	yes	assault02	assault	2
where does the assaulting happen ?	indoor	assault02	assault	3
does the video happen outdoor ?	no	assault02	assault	3
does the video happen indoor ?	yes	assault02	assault	3
does the video have assault ?	yes	assault03	assault	0
does the video have falling ?	yes	assault03	assault	0
what is the man wearing a white t-shirt doing ?	assaulting	assault03	assault	0
what is the man wearing gray t-shirt doing ?	assaulting	assault03	assault	0
does the video have shooting ?	no	assault03	assault	0
who is assaulting ?	the man wearing a white t-shirt	assault03	assault	1
who hit by hand ?	the man wearing a white t-shirt	assault03	assault	1
who is assaulted ?	the man weaing a bag	assault03	assault	1
when does the assault happen ?	night-time	assault03	assault	2
does the video happen daytime ?	no	assault03	assault	2
does the video happen night-time ?	yes	assault03	assault	2
where does the assaulting happen ?	indoor	assault03	assault	3
does the video happen outdoor ?	no	assault03	assault	3
does the video happen indoor ?	yes	assault03	assault	3
does the video have assault ?	yes	assault04	assault	0
does the video have falling?	no	assault04	assault	0
what is the man wearing gray t-shirt doing ?	assaulting	assault04	assault	0
what is the man wearing blue t-shirt doing ?	lying	assault04	assault	0
who is assaulting ?	the man wearing blue t-shirt	assault04	assault	1
who is lying ?	the man wearing blue t-shirt	assault04	assault	1
who has a rod ?	the man wearing gray t-shirt	assault04	assault	1
who is lying beside an atm ?	the man wearing blue t-shirt	assault04	assault	1
who is assaulted ?	the man wearing a blue t-shirt	assault04	assault	1
when does assaulting happen ?	night-time	assault04	assault	2
does the video happen daytime ?	no	assault04	assault	2
does the video happen night-time ?	yes	assault04	assault	2
where does the assaulting happen ?	indoor	assault04	assault	3
does the video happen outdoor ?	no	assault04	assault	3
does the video happen indoor ?	yes	assault04	assault	3
does the video have assault ?	yes	assault05	assault	0
does the video have shooting?	no	assault05	assault	0
what is the man wearing black t-shirt doing ?	assaulting	assault05	assault	0
what is the man wearing white t-shirt doing ?	falling	assault05	assault	0
who is assaulting ?	the man wearing black t-shirt	assault05	assault	1
who hit by hand ?	the man wearing black t-shirt	assault05	assault	1
when does the assaulting happen ?	daytime	assault05	assault	2
does the video happen night-time ?	no	assault05	assault	2
does the video happen daytime ?	yes	assault05	assault	2
where does the assaulting happen ?	outdoor	assault05	assault	3
does the video happen indoor ?	no	assault05	assault	3
does the video happen outdoor ?	yes	assault05	assault	3
does the video have assault ?	yes	assault06	assault	0
does the video have fighting ?	no	assault06	assault	0
what is the man wearing pink shirt doing ?	standing by a motorcycle	assault06	assault	0
what is the man wearing white shirt doing ?	assaulting	assault06	assault	0
who is assaulting ?	the man wearing white t-shirt	assault06	assault	1
who has a rod ?	the man wearing a wearing white t-shirt	assault06	assault	1
who is standing by a motorcycle ?	the man wearing pink t-shirt	assault06	assault	1
when does the assaulting happen ?	daytime	assault06	assault	2
does the video happen night-time ?	no	assault06	assault	2
does the video happen daytime ?	yes	assault06	assault	2
where does the assaulting happen ?	outdoor	assault06	assault	3
does the video happen indoor ?	no	assault06	assault	3
does the video happen outdoor ?	yes	assault06	assault	3
does the video have assault ?	yes	assault07	assault	0
does the video have fighting ?	no	assault07	assault	0
what is the man wearing black t-shirt doing ?	assaulting	assault07	assault	0
what is the woman wearing black shirt doing ?	falling	assault07	assault	0
who is assaulting ?	the man wearing a black t-shirt	assault07	assault	1
who hit by hand ?	the man wearing black t-shirt	assault07	assault	1
who is assaulted ?	the woman with black shirt	assault07	assault	1
who is hit ?	the woman wearing a black shirt	assault07	assault	1
when does assaulting happen ?	daytime	assault07	assault	2
does the video happen night-time ?	no	assault07	assault	2
does the video happen daytime ?	yes	assault07	assault	2
where does the assaulting happen ?	outdoor	assault07	assault	3
does the video happen indoor ?	no	assault07	assault	3
does the video happen outdoor ?	yes	assault07	assault	3
does the video have assault ?	yes	assault08	assault	0
does the video have shooting?	no	assault08	assault	0
what is the man wearing a white hat doing ?	assaulting	assault08	assault	0
what is the man wearing white shirt doing ?	falling	assault08	assault	0
who is assaulting ?	the man wearing a white hat	assault08	assault	1
when does the assaulting happen ?	night-time	assault08	assault	2
does the video happen daytime ?	no	assault08	assault	2
does the video happen night-time ?	yes	assault08	assault	2
where does the assaulting happen ?	outdoor	assault08	assault	3
does the video happen indoor ?	no	assault08	assault	3
does the video happen outdoor ?	yes	assault08	assault	3
does the video have assault ?	yes	assault09	assault	0
does the video have fighting?	no	assault09	assault	0
what is the man weaing a black coat doing ?	assaulting	assault09	assault	0
what is the man wearing gray t-shirt doing ?	sitting on the ground	assault09	assault	0
who is assaulting?	the man wearing a black coat	assault09	assault	1
when does the assaulting happen ?	night-time	assault09	assault	2
does the video happen daytime ?	no	assault09	assault	2
does the video happen night-time ?	yes	assault09	assault	2
where does the assaulting happen ?	indoor	assault09	assault	3
does the video happen outdoor ?	no	assault09	assault	3
does the video happen indoor ?	yes	assault09	assault	3
does the video have assault ?	yes	assault10	assault	0
does the video have shooting ?	no	assault10	assault	0
what is the man wearing gray coat doing ?	assaulting	assault10	assault	0
who is assaulting ?	the man wearing a coat	assault10	assault	1
who has a rod ?	the man wearing gray t-shirt	assault10	assault	1
when does the assault happen ?	night-time	assault10	assault	2
does the video happen daytime ?	no	assault10	assault	2
does the video happen night-time ?	yes	assault10	assault	2
where does the assault happen ?	outdoor	assault10	assault	3
does the video happen indoor ?	no	assault10	assault	3
does the video happen outdoor ?	yes	assault10	assault	3
does the video have assault ?	yes	assault11	assault	0
does the video have falling ?	no	assault11	assault	0
what is the man wearing black pants doing ?	assaulting	assault11	assault	0
