question	answer	video_id	action
where does the assaulting happen ?	outdoor	assault15	assault
where does the falling happen ?	unknown	assault15	assault
does the video happen indoor ?	no	assault15	assault
does the video happen outdoor ?	yes	assault15	assault
where does the assaulting happen ?	outdoor	assault16	assault
where does the shooting happen ?	unknown	assault16	assault
does the video happen indoor ?	no	assault16	assault
does the video happen indoor ?	yes	assault16	assault
where does the assaulting happen ?	indoor	assault17	assault
where does the shooting happen ?	unknown	assault17	assault
does the video happen outdoor ?	no	assault17	assault
does the video happen indoor ?	yes	assault17	assault
where does the assaulting happen ?	outdoor	assault18	assault
where does the shooting happen ?	unknown	assault18	assault
does the video happen indoor ?	no	assault18	assault
does the video happen outdoor ?	yes	assault18	assault
where does the assaulting happen ?	outdoor	assault19	assault
where does the shooting happen ?	unknown	assault19	assault
does the video happen indoor ?	no	assault19	assault
does the video happen outdoor ?	yes	assault19	assault
where does the assaulting happen ?	outdoor	assault20	assault
where does the falling happen ?	unknown	assault20	assault
does the video happen indoor ?	no	assault20	assault
does the video happen outdoor ?	yes	assault20	assault
where does the man fall ?	ground	fall15	fall
where does the fall happen ?	indoor	fall15	fall
where does the shooting happen ?	unknown	fall15	fall
does the video happen outdoor ?	no	fall15	fall
does the video happen indoor ?	yes	fall15	fall
where does the man fall ?	ground	fall16	fall
where does the fall happen ?	indoor	fall16	fall
where does the assault happen ?	unknown	fall16	fall
does the video happen outdoor ?	no	fall16	fall
does the video happen indoor  ?	yes	fall16	fall
where does the fall happen ?	outdoor	fall17	fall
where does the fight happen ?	unknown	fall17	fall
does the video happen indoor ?	no	fall17	fall
does the video happen outdoor ?	yes	fall17	fall
where does the woman fall ?	ground	fall17	fall
where does the fall happen ?	indoor	fall18	fall
where does the assault happen ?	unknown	fall18	fall
does the video happen outdoor ?	no	fall18	fall
does the video happen indoor ?	yes	fall18	fall
where does the fall happen ?	indoor	fall19	fall
where does the assault happen ?	unknown	fall19	fall
does the video happen outdoor ?	no	fall19	fall
does the video happen outdoor ?	yes	fall19	fall
where does the man fall ?	ground	fall19	fall
where does the fall happen ?	outdoor	fall20	fall
where does the fight happen ?	unknown	fall20	fall
does the video happen indoor ?	no	fall20	fall
does the video happen outdoor ?	yes	fall20	fall
where does the man fall ?	staircase	fall20	fall
where does the fight happen ?	outdoor	fight15	fight
where does the fall happen ?	unknown	fight15	fight
does the video happen indoor ?	no	fight15	fight
does the video happen outdoor ?	yes	fight15	fight
where does the fight happen ?	indoor	fight16	fight
where does the shooting happen ?	unknown	fight16	fight
does the video happen outdoor ?	no	fight16	fight
does the video happen indoor ?	yes	fight16	fight
where does the fight happen ?	indoor	fight17	fight
where does the shooting happen ?	unknown	fight17	fight
does the video happen outdoor ?	no	fight17	fight
does the video happen indoor ?	yes	fight17	fight
where does the fight happen ?	indoor	fight18	fight
where does the assault happen ?	indoor	fight18	fight
does the video happen outdoor ?	no	fight18	fight
does the video happen indoor ?	yes	fight18	fight
where does the fight happen ?	indoor	fight19	fight
where does the assault happen ?	unknown	fight19	fight
does the video happen outdoor ?	no	fight19	fight
does the video happen indoor ?	yes	fight19	fight
where does the fight happen ?	outdoor	fight20	fight
where does the fall happen ?	unknown	fight20	fight
does the video happen indoor ?	no	fight20	fight
does the video happen outdoor ?	yes	fight20	fight
where does the shooting happen ?	outdoor	shoot15	shoot
where does the assault happen ?	unknown	shoot15	shoot
does the video happen indoor ?	no	shoot15	shoot
does the video happen outdoor ?	yes	shoot15	shoot
where does the shooting happen ?	indoor	shoot16	shoot
where does the fall happen ?	unknown	shoot16	shoot
does the video happen outdoor ?	no	shoot16	shoot
does the video happen indoor ?	yes	shoot16	shoot
where does the shooting happen ?	indoor	shoot17	shoot
where does the fall happen ?	unknown	shoot17	shoot
does the video happen outdoor ?	no	shoot17	shoot
does the video happen indoor ?	yes	shoot17	shoot
where does the shooting happen ?	indoor	shoot18	shoot
where does the assault happen ?	unknown	shoot18	shoot
does the video happen outdoor ?	no	shoot18	shoot
does the video happen indoor ?	yes	shoot18	shoot
where does the man fall ?	ground	shoot19	shoot
where does the fight happen ?	outdoor	shoot19	shoot
where does the fight happen ?	unknown	shoot19	shoot
does the video happen indoor ?	no	shoot19	shoot
does the video happen outdoor ?	yes	shoot19	shoot
where does the shooting happen ?	indoor	shoot20	shoot
where does the assault happen ?	unknown	shoot20	shoot
does the video happen outdoor ?	no	shoot20	shoot
does the video happen indoor ?	yes	shoot20	shoot
